"energy_range_name","min_beam_energy","max_beam_energy"
"psi(2S)",1.8300000000000001,1.8500000000000001
"psi(2S)-off",1.8300000000000001,1.839
"psi(2S)-on",1.839,1.8500000000000001
"psi(3770)",1.8799999999999999,1.8919999999999999
